report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
2015-11-28,El_Salvador-Ahuachapan,department,cumulative_suspected_total,SV0010,NA,NA,4,cases
2015-11-28,El_Salvador-Cabanas,department,cumulative_suspected_total,SV0010,NA,NA,3,cases
2015-11-28,El_Salvador-Chalatenango,department,cumulative_suspected_total,SV0010,NA,NA,8,cases
2015-11-28,El_Salvador-Cuscatlan,department,cumulative_suspected_total,SV0010,NA,NA,4,cases
2015-11-28,El_Salvador-La_Libertad,department,cumulative_suspected_total,SV0010,NA,NA,61,cases
2015-11-28,El_Salvador-La_Paz,department,cumulative_suspected_total,SV0010,NA,NA,1,cases
2015-11-28,El_Salvador-La_Union,department,cumulative_suspected_total,SV0010,NA,NA,4,cases
2015-11-28,El_Salvador-Morazan,department,cumulative_suspected_total,SV0010,NA,NA,4,cases
2015-11-28,El_Salvador-San_Miguel,department,cumulative_suspected_total,SV0010,NA,NA,16,cases
2015-11-28,El_Salvador-San_Salvador,department,cumulative_suspected_total,SV0010,NA,NA,551,cases
2015-11-28,El_Salvador-San_Vicente,department,cumulative_suspected_total,SV0010,NA,NA,38,cases
2015-11-28,El_Salvador-Santa_Ana,department,cumulative_suspected_total,SV0010,NA,NA,9,cases
2015-11-28,El_Salvador-Sonsonate,department,cumulative_suspected_total,SV0010,NA,NA,3,cases
2015-11-28,El_Salvador-Usulutan,department,cumulative_suspected_total,SV0010,NA,NA,28,cases
2015-11-28,El_Salvador,country,cumulative_suspected_total,SV0010,NA,NA,851,cases
2015-11-28,El_Salvador-La_Libertad,department,cumulative_suspected_pregnant,SV0011,NA,NA,1,cases
2015-11-28,El_Salvador-San_Salvador,department,cumulative_suspected_pregnant,SV0011,NA,NA,2,cases
2015-11-28,El_Salvador,country,cumulative_suspected_pregnant,SV0011,NA,NA,3,cases2015-12-05,El_Salvador-Ahuachapan,department,cumulative_suspected_total,SV0010,NA,NA,5,cases
2015-12-05,El_Salvador-Cabanas,department,cumulative_suspected_total,SV0010,NA,NA,8,cases
2015-12-05,El_Salvador-Chalatenango,department,cumulative_suspected_total,SV0010,NA,NA,15,cases
2015-12-05,El_Salvador-Cuscatlan,department,cumulative_suspected_total,SV0010,NA,NA,6,cases
2015-12-05,El_Salvador-La_Libertad,department,cumulative_suspected_total,SV0010,NA,NA,70,cases
2015-12-05,El_Salvador-La_Paz,department,cumulative_suspected_total,SV0010,NA,NA,1,cases
2015-12-05,El_Salvador-La_Union,department,cumulative_suspected_total,SV0010,NA,NA,7,cases
2015-12-05,El_Salvador-Morazan,department,cumulative_suspected_total,SV0010,NA,NA,8,cases
2015-12-05,El_Salvador-San_Miguel,department,cumulative_suspected_total,SV0010,NA,NA,20,cases
2015-12-05,El_Salvador-San_Salvador,department,cumulative_suspected_total,SV0010,NA,NA,584,cases
2015-12-05,El_Salvador-San_Vicente,department,cumulative_suspected_total,SV0010,NA,NA,86,cases
2015-12-05,El_Salvador-Santa_Ana,department,cumulative_suspected_total,SV0010,NA,NA,11,cases
2015-12-05,El_Salvador-Sonsonate,department,cumulative_suspected_total,SV0010,NA,NA,4,cases
2015-12-05,El_Salvador-Usulutan,department,cumulative_suspected_total,SV0010,NA,NA,39,cases
2015-12-05,El_Salvador,country,cumulative_suspected_total,SV0010,NA,NA,864,cases
2015-12-05,El_Salvador,country,cumulative_suspected_age_under_1,SV0001,NA,NA,9,cases
2015-12-05,El_Salvador,country,cumulative_suspected_age_1-4,SV0002,NA,NA,27,cases
2015-12-05,El_Salvador,country,cumulative_suspected_age_5-9,SV0003,NA,NA,47,cases
2015-12-05,El_Salvador,country,cumulative_suspected_age_10-19,SV0004,NA,NA,39,cases
2015-12-05,El_Salvador,country,cumulative_suspected_age_20-29,SV0005,NA,NA,190,cases
2015-12-05,El_Salvador,country,cumulative_suspected_age_30-39,SV0006,NA,NA,221,cases
2015-12-05,El_Salvador,country,cumulative_suspected_age_40-49,SV0007,NA,NA,181,cases
2015-12-05,El_Salvador,country,cumulative_suspected_age_50-59,SV0008,NA,NA,104,cases
2015-12-05,El_Salvador,country,cumulative_suspected_age_60_plus,SV0009,NA,NA,46,cases
2015-12-05,El_Salvador-La_Libertad,department,cumulative_suspected_pregnant,SV0011,NA,NA,1,cases
2015-12-05,El_Salvador-San_Salvador,department,cumulative_suspected_pregnant,SV0011,NA,NA,4,cases
2015-12-05,El_Salvador,country,cumulative_suspected_pregnant,SV0011,NA,NA,5,cases2015-12-12,El_Salvador-Ahuachapan,department,cumulative_suspected_total,SV0010,NA,NA,18,cases
2015-12-12,El_Salvador-Cabanas,department,cumulative_suspected_total,SV0010,NA,NA,21,cases
2015-12-12,El_Salvador-Chalatenango,department,cumulative_suspected_total,SV0010,NA,NA,27,cases
2015-12-12,El_Salvador-Cuscatlan,department,cumulative_suspected_total,SV0010,NA,NA,22,cases
2015-12-12,El_Salvador-La_Libertad,department,cumulative_suspected_total,SV0010,NA,NA,174,cases
2015-12-12,El_Salvador-La_Paz,department,cumulative_suspected_total,SV0010,NA,NA,28,cases
2015-12-12,El_Salvador-La_Union,department,cumulative_suspected_total,SV0010,NA,NA,9,cases
2015-12-12,El_Salvador-Morazan,department,cumulative_suspected_total,SV0010,NA,NA,22,cases
2015-12-12,El_Salvador-San_Miguel,department,cumulative_suspected_total,SV0010,NA,NA,38,cases
2015-12-12,El_Salvador-San_Salvador,department,cumulative_suspected_total,SV0010,NA,NA,1113,cases
2015-12-12,El_Salvador-San_Vicente,department,cumulative_suspected_total,SV0010,NA,NA,145,cases
2015-12-12,El_Salvador-Santa_Ana,department,cumulative_suspected_total,SV0010,NA,NA,34,cases
2015-12-12,El_Salvador-Sonsonate,department,cumulative_suspected_total,SV0010,NA,NA,9,cases
2015-12-12,El_Salvador-Usulutan,department,cumulative_suspected_total,SV0010,NA,NA,56,cases
2015-12-12,El_Salvador,country,cumulative_suspected_total,SV0010,NA,NA,1716,cases
2015-12-12,El_Salvador,country,cumulative_suspected_age_under_1,SV0001,NA,NA,26,cases
2015-12-12,El_Salvador,country,cumulative_suspected_age_1-4,SV0002,NA,NA,48,cases
2015-12-12,El_Salvador,country,cumulative_suspected_age_5-9,SV0003,NA,NA,71,cases
2015-12-12,El_Salvador,country,cumulative_suspected_age_10-19,SV0004,NA,NA,19,cases
2015-12-12,El_Salvador,country,cumulative_suspected_age_20-29,SV0005,NA,NA,394,cases
2015-12-12,El_Salvador,country,cumulative_suspected_age_30-39,SV0006,NA,NA,450,cases
2015-12-12,El_Salvador,country,cumulative_suspected_age_40-49,SV0007,NA,NA,351,cases
2015-12-12,El_Salvador,country,cumulative_suspected_age_50-59,SV0008,NA,NA,197,cases
2015-12-12,El_Salvador,country,cumulative_suspected_age_60_plus,SV0009,NA,NA,83,cases
2015-12-12,El_Salvador-Chalatenango,department,cumulative_suspected_pregnant,SV0011,NA,NA,1,cases
2015-12-12,El_Salvador-La_Libertad,department,cumulative_suspected_pregnant,SV0011,NA,NA,2,cases
2015-12-12,El_Salvador-San_Salvador,department,cumulative_suspected_pregnant,SV0011,NA,NA,16,cases
2015-12-12,El_Salvador-San_Vicente,department,cumulative_suspected_pregnant,SV0011,NA,NA,2,cases
2015-12-12,El_Salvador,country,cumulative_suspected_pregnant,SV0011,NA,NA,21,cases2015-12-19,El_Salvador-Ahuachapan,department,cumulative_suspected_total,SV0010,NA,NA,27,cases
2015-12-19,El_Salvador-Cabanas,department,cumulative_suspected_total,SV0010,NA,NA,36,cases
2015-12-19,El_Salvador-Chalatenango,department,cumulative_suspected_total,SV0010,NA,NA,58,cases
2015-12-19,El_Salvador-Cuscatlan,department,cumulative_suspected_total,SV0010,NA,NA,33,cases
2015-12-19,El_Salvador-La_Libertad,department,cumulative_suspected_total,SV0010,NA,NA,316,cases
2015-12-19,El_Salvador-La_Paz,department,cumulative_suspected_total,SV0010,NA,NA,60,cases
2015-12-19,El_Salvador-La_Union,department,cumulative_suspected_total,SV0010,NA,NA,13,cases
2015-12-19,El_Salvador-Morazan,department,cumulative_suspected_total,SV0010,NA,NA,53,cases
2015-12-19,El_Salvador-San_Miguel,department,cumulative_suspected_total,SV0010,NA,NA,51,cases
2015-12-19,El_Salvador-San_Salvador,department,cumulative_suspected_total,SV0010,NA,NA,1692,cases
2015-12-19,El_Salvador-San_Vicente,department,cumulative_suspected_total,SV0010,NA,NA,221,cases
2015-12-19,El_Salvador-Santa_Ana,department,cumulative_suspected_total,SV0010,NA,NA,130,cases
2015-12-19,El_Salvador-Sonsonate,department,cumulative_suspected_total,SV0010,NA,NA,14,cases
2015-12-19,El_Salvador-Usulutan,department,cumulative_suspected_total,SV0010,NA,NA,69,cases
2015-12-19,El_Salvador,country,cumulative_suspected_total,SV0010,NA,NA,2773,cases
2015-12-19,El_Salvador,country,cumulative_suspected_age_under_1,SV0001,NA,NA,53,cases
2015-12-19,El_Salvador,country,cumulative_suspected_age_1-4,SV0002,NA,NA,82,cases
2015-12-19,El_Salvador,country,cumulative_suspected_age_5-9,SV0003,NA,NA,98,cases
2015-12-19,El_Salvador,country,cumulative_suspected_age_10-19,SV0004,NA,NA,144,cases
2015-12-19,El_Salvador,country,cumulative_suspected_age_20-29,SV0005,NA,NA,661,cases
2015-12-19,El_Salvador,country,cumulative_suspected_age_30-39,SV0006,NA,NA,728,cases
2015-12-19,El_Salvador,country,cumulative_suspected_age_40-49,SV0007,NA,NA,560,cases
2015-12-19,El_Salvador,country,cumulative_suspected_age_50-59,SV0008,NA,NA,312,cases
2015-12-19,El_Salvador,country,cumulative_suspected_age_60_plus,SV0009,NA,NA,135,cases
2015-12-19,El_Salvador-La_Libertad,department,cumulative_suspected_pregnant,SV0011,NA,NA,5,cases
2015-12-19,El_Salvador-San_Salvador,department,cumulative_suspected_pregnant,SV0011,NA,NA,25,cases
2015-12-19,El_Salvador-Chalatenango,department,cumulative_suspected_pregnant,SV0011,NA,NA,3,cases
2015-12-19,El_Salvador-San_Vicente,department,cumulative_suspected_pregnant,SV0011,NA,NA,3,cases
2015-12-19,El_Salvador-La_Paz,department,cumulative_suspected_pregnant,SV0011,NA,NA,1,cases
2015-12-19,El_Salvador-Ahuachapan,department,cumulative_suspected_pregnant,SV0011,NA,NA,1,cases
2015-12-19,El_Salvador,country,cumulative_suspected_pregnant,SV0011,NA,NA,38,cases2015-12-27,El_Salvador-Ahuachapan,department,cumulative_suspected_total,SV0010,NA,NA,40,cases
2015-12-27,El_Salvador-Cabanas,department,cumulative_suspected_total,SV0010,NA,NA,54,cases
2015-12-27,El_Salvador-Chalatenango,department,cumulative_suspected_total,SV0010,NA,NA,136,cases
2015-12-27,El_Salvador-Cuscatlan,department,cumulative_suspected_total,SV0010,NA,NA,71,cases
2015-12-27,El_Salvador-La_Libertad,department,cumulative_suspected_total,SV0010,NA,NA,438,cases
2015-12-27,El_Salvador-La_Paz,department,cumulative_suspected_total,SV0010,NA,NA,75,cases
2015-12-27,El_Salvador-La_Union,department,cumulative_suspected_total,SV0010,NA,NA,19,cases
2015-12-27,El_Salvador-Morazan,department,cumulative_suspected_total,SV0010,NA,NA,65,cases
2015-12-27,El_Salvador-San_Miguel,department,cumulative_suspected_total,SV0010,NA,NA,58,cases
2015-12-27,El_Salvador-San_Salvador,department,cumulative_suspected_total,SV0010,NA,NA,2272,cases
2015-12-27,El_Salvador-San_Vicente,department,cumulative_suspected_total,SV0010,NA,NA,294,cases
2015-12-27,El_Salvador-Santa_Ana,department,cumulative_suspected_total,SV0010,NA,NA,213,cases
2015-12-27,El_Salvador-Sonsonate,department,cumulative_suspected_total,SV0010,NA,NA,23,cases
2015-12-27,El_Salvador-Usulutan,department,cumulative_suspected_total,SV0010,NA,NA,78,cases
2015-12-27,El_Salvador,country,cumulative_suspected_total,SV0010,NA,NA,3836,cases
2015-12-27,El_Salvador,country,cumulative_suspected_age_under_1,SV0001,NA,NA,72,cases
2015-12-27,El_Salvador,country,cumulative_suspected_age_1-4,SV0002,NA,NA,121,cases
2015-12-27,El_Salvador,country,cumulative_suspected_age_5-9,SV0003,NA,NA,131,cases
2015-12-27,El_Salvador,country,cumulative_suspected_age_10-19,SV0004,NA,NA,209,cases
2015-12-27,El_Salvador,country,cumulative_suspected_age_20-29,SV0005,NA,NA,990,cases
2015-12-27,El_Salvador,country,cumulative_suspected_age_30-39,SV0006,NA,NA,979,cases
2015-12-27,El_Salvador,country,cumulative_suspected_age_40-49,SV0007,NA,NA,747,cases
2015-12-27,El_Salvador,country,cumulative_suspected_age_50-59,SV0008,NA,NA,397,cases
2015-12-27,El_Salvador,country,cumulative_suspected_age_60_plus,SV0009,NA,NA,190,cases
2015-12-27,El_Salvador-Ahuachapan,department,cumulative_suspected_pregnant,SV0011,NA,NA,1,cases
2015-12-27,El_Salvador-Chalatenango,department,cumulative_suspected_pregnant,SV0011,NA,NA,4,cases
2015-12-27,El_Salvador-La_Libertad,department,cumulative_suspected_pregnant,SV0011,NA,NA,9,cases
2015-12-27,El_Salvador-La_Paz,department,cumulative_suspected_pregnant,SV0011,NA,NA,1,cases
2015-12-27,El_Salvador-San_Salvador,department,cumulative_suspected_pregnant,SV0011,NA,NA,39,cases
2015-12-27,El_Salvador-San_Vicente,department,cumulative_suspected_pregnant,SV0011,NA,NA,5,cases
2015-12-27,El_Salvador-Santa_Ana,department,cumulative_suspected_pregnant,SV0011,NA,NA,1,cases
2015-12-27,El_Salvador-Cuscatlan,department,cumulative_suspected_pregnant,SV0011,NA,NA,1,cases
2015-12-27,El_Salvador-Morazan,department,cumulative_suspected_pregnant,SV0011,NA,NA,1,cases
2015-12-27,El_Salvador-Cabanas,department,cumulative_suspected_pregnant,SV0011,NA,NA,1,cases
2015-12-27,El_Salvador,country,cumulative_suspected_pregnant,SV0011,NA,NA,63,cases2016-01-09,El_Salvador-Ahuachapan,department,cumulative_suspected_total,SV0010,NA,NA,11,cases
2016-01-09,El_Salvador-Cabanas,department,cumulative_suspected_total,SV0010,NA,NA,19,cases
2016-01-09,El_Salvador-Chalatenango,department,cumulative_suspected_total,SV0010,NA,NA,32,cases
2016-01-09,El_Salvador-Cuscatlan,department,cumulative_suspected_total,SV0010,NA,NA,47,cases
2016-01-09,El_Salvador-La_Libertad,department,cumulative_suspected_total,SV0010,NA,NA,89,cases
2016-01-09,El_Salvador-La_Paz,department,cumulative_suspected_total,SV0010,NA,NA,4,cases
2016-01-09,El_Salvador-La_Union,department,cumulative_suspected_total,SV0010,NA,NA,2,cases
2016-01-09,El_Salvador-Morazan,department,cumulative_suspected_total,SV0010,NA,NA,2,cases
2016-01-09,El_Salvador-San_Miguel,department,cumulative_suspected_total,SV0010,NA,NA,13,cases
2016-01-09,El_Salvador-San_Salvador,department,cumulative_suspected_total,SV0010,NA,NA,159,cases
2016-01-09,El_Salvador-San_Vicente,department,cumulative_suspected_total,SV0010,NA,NA,44,cases
2016-01-09,El_Salvador-Santa_Ana,department,cumulative_suspected_total,SV0010,NA,NA,61,cases
2016-01-09,El_Salvador-Sonsonate,department,cumulative_suspected_total,SV0010,NA,NA,10,cases
2016-01-09,El_Salvador-Usulutan,department,cumulative_suspected_total,SV0010,NA,NA,3,cases
2016-01-09,El_Salvador,country,cumulative_suspected_total,SV0010,NA,NA,492,cases
2016-01-09,El_Salvador,country,cumulative_suspected_age_under_1,SV0001,NA,NA,6,cases
2016-01-09,El_Salvador,country,cumulative_suspected_age_1-4,SV0002,NA,NA,15,cases
2016-01-09,El_Salvador,country,cumulative_suspected_age_5-9,SV0003,NA,NA,20,cases
2016-01-09,El_Salvador,country,cumulative_suspected_age_10-19,SV0004,NA,NA,35,cases
2016-01-09,El_Salvador,country,cumulative_suspected_age_20-29,SV0005,NA,NA,122,cases
2016-01-09,El_Salvador,country,cumulative_suspected_age_30-39,SV0006,NA,NA,127,cases
2016-01-09,El_Salvador,country,cumulative_suspected_age_40-49,SV0007,NA,NA,101,cases
2016-01-09,El_Salvador,country,cumulative_suspected_age_50-59,SV0008,NA,NA,49,cases
2016-01-09,El_Salvador,country,cumulative_suspected_age_60_plus,SV0009,NA,NA,17,cases
2016-01-09,El_Salvador-Sonsonate,department,cumulative_suspected_pregnant,SV0011,NA,NA,1,cases
2016-01-09,El_Salvador-San_Miguel,department,cumulative_suspected_pregnant,SV0011,NA,NA,1,cases
2016-01-09,El_Salvador-Cabanas,department,cumulative_suspected_pregnant,SV0011,NA,NA,1,cases
2016-01-09,El_Salvador-Cuscatlan,department,cumulative_suspected_pregnant,SV0011,NA,NA,1,cases
